index,NORMALIZED PEDESTRIAN POSITION X,NORMALIZED PEDESTRIAN POSITION Y,NORMALIZED PEDESTRIAN DIRECTION,NORMALIZED PEDESTRIAN SPEED,NORMALIZED CAR SPEED,TTC
28,3.0966514028530026,-1.0,90.0,0.0,2.0,0.3333333333333333
30,4.249815096084427,-1.0,90.0,0.0,2.0,0.4166666666666667
28,3.058323312695205,-1.0,90.0,0.0,2.0,0.375
28,3.421024104288919,-1.0,90.0,0.0,2.0,0.375
31,4.616998344414165,-1.0,90.0,0.0,2.0,0.4166666666666667
29,3.6408174200057273,-1.0,90.0,0.0,2.0,0.4
28,3.3670455396867274,-1.0,90.0,0.0,2.0,0.4
28,3.2271509694165736,-1.0,90.0,0.0,2.0,0.3333333333333333
30,1.5902636114868647,-1.2349560647521893,90.0,0.0,2.0,0.4
30,4.298787402894636,-1.0,90.0,0.0,2.0,0.4
17,3.281569763106475,-0.5,90.0,0.0,2.0,0.3333333333333333
17,3.467690868032074,-0.5,90.0,0.0,2.0,0.375
17,3.244097446188938,-0.5,90.0,0.0,2.0,0.3333333333333333
20,4.584196215814605,-0.5,90.0,0.0,2.0,0.4166666666666667
17,3.135317557566543,-0.5,90.0,0.0,2.0,0.3333333333333333
18,3.6138117900899775,-0.5,90.0,0.0,2.0,0.4
19,4.067874225276793,-0.5,90.0,0.0,2.0,0.4
19,4.260574721112086,-0.5,90.0,0.0,2.0,0.4
17,3.1806776770206993,-0.5,90.0,0.0,2.0,0.4166666666666667
17,3.232143136969256,-0.5,90.0,0.0,2.0,0.3333333333333333
96749,4.310329131280404,-1.0,91.05,4.0,10.0,0.31343283582089554
96743,4.568131305589503,-0.7159343472052482,91.05,4.0,10.0,0.31343283582089554
96749,4.413320416712716,-1.0,91.05,4.0,10.0,0.28448275862068967
96748,4.0,-0.9564124452350236,91.05,4.0,10.0,0.375
96739,4.498016299612358,-0.5019837003876422,91.05,4.0,10.0,0.28448275862068967
96743,4.638612317245814,-0.6806938413770929,91.05,4.0,10.0,0.31343283582089554
96750,4.917297244896237,-1.0,91.05,4.0,10.0,0.31343283582089554
96740,4.41745362491465,-0.5825463750853506,91.05,4.0,10.0,0.28448275862068967
96741,4.866698314486857,-0.5666508427565711,91.05,4.0,10.0,0.31343283582089554
96744,4.0,-0.7768966182592525,91.05,4.0,10.0,0.375
13173,4.035899931873319,-0.5,92.09,2.0,4.0,0.4166666666666667
13168,3.7471198461924073,-0.31322003845189816,92.09,2.0,4.0,0.4166666666666667
13174,4.715487100984023,-0.5,92.09,2.0,4.0,0.4166666666666667
13174,4.750137702086408,-0.5,92.09,2.0,4.0,0.4166666666666667
13166,4.198268196445886,-0.20043295088852842,92.09,2.0,4.0,0.4166666666666667
13171,3.194703598140171,-0.5,92.09,2.0,4.0,0.3333333333333333
13171,3.2975525649094277,-0.5,92.09,2.0,4.0,0.3333333333333333
13173,4.265915018923826,-0.5,92.09,2.0,4.0,0.4166666666666667
13171,3.0284850625268467,-0.5,92.09,2.0,4.0,0.375
13171,3.454772008991334,-0.5,92.09,2.0,4.0,0.3333333333333333
38512,4.751902695275103,-0.2480973047248976,93.14,4.0,12.0,0.2767857142857143
38522,4.666762535119321,-0.6667625351193205,93.14,4.0,12.0,0.2767857142857143
38516,4.576029628262727,-0.42397037173727303,93.14,4.0,12.0,0.2767857142857143
38519,4.5,-0.5487917061455553,93.14,4.0,12.0,0.375
38509,4.5,-0.10228545619877943,93.14,4.0,12.0,0.375
38512,4.5,-0.22839729681929638,93.14,4.0,12.0,0.375
38512,4.754799290146167,-0.2452007098538332,93.14,4.0,12.0,0.2767857142857143
38519,4.5,-0.5727638529049874,93.14,4.0,12.0,0.375
38518,4.541770793308479,-0.5,93.14,4.0,12.0,0.2767857142857143
38526,4.8556100402948275,-0.8556100402948273,93.14,4.0,12.0,0.2767857142857143
374,3.0,-0.2605541225775335,91.57,0.0,2.0,0.375
371,4.027362171974713,0.0,91.57,0.0,2.0,0.4166666666666667
369,3.34247123654465,0.0,91.57,0.0,2.0,0.3333333333333333
369,3.0424911180823444,0.0,91.57,0.0,2.0,0.4
376,3.0,-0.35230596176389783,91.57,0.0,2.0,0.375
369,3.4395979202910234,0.0,91.57,0.0,2.0,0.375
370,3.908552092194185,0.0,91.57,0.0,2.0,0.375
369,3.203051308091541,0.0,91.57,0.0,2.0,0.4
369,3.208273321886758,0.0,91.57,0.0,2.0,0.3333333333333333
369,3.4523218074392132,0.0,91.57,0.0,2.0,0.375
380,3.1244210669575487,-0.5,91.57,0.0,2.0,0.4
380,3.460376081910141,-0.5,91.57,0.0,2.0,0.375
380,3.2214940122637006,-0.5,91.57,0.0,2.0,0.375
379,3.1064717785801994,-0.4733820553549501,91.57,0.0,2.0,0.4166666666666667
376,4.055142083731497,-0.23621447906712567,91.57,0.0,2.0,0.4166666666666667
378,3.433475906221025,-0.39163102344474376,91.57,0.0,2.0,0.4166666666666667
380,3.0599346468910693,-0.5,91.57,0.0,2.0,0.3333333333333333
377,3.6174858866005994,-0.3456285283498502,91.57,0.0,2.0,0.4166666666666667
381,3.8655316281491188,-0.5,91.57,0.0,2.0,0.4
383,4.649035771435027,-0.5,91.57,0.0,2.0,0.4166666666666667
97222,4.373179985498304,-0.5,93.14,4.0,10.0,0.28448275862068967
97216,4.0,-0.25429561198922873,93.14,4.0,10.0,0.375
97216,4.594357041850795,-0.20282147907460213,93.14,4.0,10.0,0.31343283582089554
97222,4.039039470061108,-0.5,93.14,4.0,10.0,0.28448275862068967
97221,4.0495814053637265,-0.4504185946362736,93.14,4.0,10.0,0.28448275862068967
97214,4.0,-0.1784595528047167,93.14,4.0,10.0,0.375
97217,4.205913767076263,-0.29408623292373703,93.14,4.0,10.0,0.28448275862068967
97222,4.087518968803137,-0.5,93.14,4.0,10.0,0.28448275862068967
97217,4.478275482786095,-0.2608622586069525,93.14,4.0,10.0,0.31343283582089554
97212,4.4894426287294005,-0.010557371270599525,93.14,4.0,10.0,0.28448275862068967
37789,4.5,-0.4022390318421621,90.0,4.0,12.0,0.375
37794,4.5,-0.6181361716949652,90.0,4.0,12.0,0.375
37788,4.6772091372467886,-0.3227908627532112,90.0,4.0,12.0,0.2767857142857143
37797,4.722795707723295,-0.7227957077232952,90.0,4.0,12.0,0.2767857142857143
37796,4.5,-0.712446311526147,90.0,4.0,12.0,0.375
37797,4.744378720046902,-0.7443787200469023,90.0,4.0,12.0,0.2767857142857143
37786,4.762895055762218,-0.23710494423778133,90.0,4.0,12.0,0.2767857142857143
37784,4.865017153521666,-0.13498284647833403,90.0,4.0,12.0,0.2767857142857143
37783,4.5,-0.1052298652986301,90.0,4.0,12.0,0.375
37787,4.726670225081728,-0.2733297749182717,90.0,4.0,12.0,0.2767857142857143
96855,4.411124301059295,-0.2944378494703524,91.57,4.0,10.0,0.31343283582089554
96851,4.388758813107809,-0.11124118689219087,91.57,4.0,10.0,0.28448275862068967
96849,4.0,-0.08957646842845984,91.57,4.0,10.0,0.375
96852,4.0,-0.22496486659956927,91.57,4.0,10.0,0.375
96859,4.009383213602913,-0.5,91.57,4.0,10.0,0.31343283582089554
96854,4.533929646893236,-0.2330351765533818,91.57,4.0,10.0,0.31343283582089554
96855,4.394438002063197,-0.3027809989684015,91.57,4.0,10.0,0.31343283582089554
96851,4.393058207083509,-0.10694179291649081,91.57,4.0,10.0,0.28448275862068967
96859,4.3082151216027675,-0.5,91.57,4.0,10.0,0.28448275862068967
96851,4.847216180229256,-0.07639190988537198,91.57,4.0,10.0,0.31343283582089554
37909,4.5,-0.36356515246376175,90.52,4.0,12.0,0.375
37918,4.740927182961255,-0.7409271829612556,90.52,4.0,12.0,0.2767857142857143
37918,4.735106812582052,-0.7351068125820523,90.52,4.0,12.0,0.2767857142857143
37916,4.5,-0.6729059728146752,90.52,4.0,12.0,0.375
37911,4.554288625231949,-0.4457113747680505,90.52,4.0,12.0,0.2767857142857143
37923,4.5,-0.9701884564238641,90.52,4.0,12.0,0.375
37913,4.672271935510355,-0.5,90.52,4.0,12.0,0.2767857142857143
37922,4.903588637433675,-0.9035886374336752,90.52,4.0,12.0,0.2767857142857143
37920,4.819445491585817,-0.8194454915858178,90.52,4.0,12.0,0.2767857142857143
37910,4.648700138723145,-0.3512998612768554,90.52,4.0,12.0,0.2767857142857143
37910,4.6740310022384435,-0.3480620044768872,90.52,4.0,12.0,0.2767857142857143
37913,4.7506891443501456,-0.5013782887002913,90.52,4.0,12.0,0.2767857142857143
37913,4.973734955869645,-0.47373495586964476,90.52,4.0,12.0,0.2767857142857143
37903,4.555619198118973,-0.05561919811897276,90.52,4.0,12.0,0.2767857142857143
37911,4.5,-0.4172144533016107,90.52,4.0,12.0,0.375
37903,4.525424490551991,-0.05084898110398184,90.52,4.0,12.0,0.2767857142857143
37902,4.5,-0.03128924777008357,90.52,4.0,12.0,0.375
37909,4.5,-0.3198217152347092,90.52,4.0,12.0,0.375
37912,4.5,-0.4552953849429584,90.52,4.0,12.0,0.375
37902,4.829903996871154,0.0,90.52,4.0,12.0,0.2767857142857143
12935,4.3951137747811995,-0.6512215563047,91.05,2.0,4.0,0.4166666666666667
12942,4.082403752579614,-1.0,91.05,2.0,4.0,0.4166666666666667
12941,3.9817565234952967,-1.0,91.05,2.0,4.0,0.375
12941,3.5018655160023275,-1.0,91.05,2.0,4.0,0.4
12942,4.493362480604053,-1.0,91.05,2.0,4.0,0.4166666666666667
12942,4.2731228131345045,-1.0,91.05,2.0,4.0,0.4
12942,4.283723750106136,-1.0,91.05,2.0,4.0,0.4
12942,4.043842675754579,-1.0,91.05,2.0,4.0,0.4
12940,3.4384068821314897,-1.0,91.05,2.0,4.0,0.3333333333333333
12941,3.95835536140964,-1.0,91.05,2.0,4.0,0.375
25348,4.201659797985251,0.0,90.0,4.0,6.0,0.4
25356,3.0,-0.49213919195092226,90.0,4.0,6.0,0.375
25346,3.0765992827899353,0.0,90.0,4.0,6.0,0.3333333333333333
25354,3.0,-0.36460572163282934,90.0,4.0,6.0,0.375
25352,3.0,-0.2961144137682026,90.0,4.0,6.0,0.375
25346,3.3473874600805527,0.0,90.0,4.0,6.0,0.3333333333333333
25347,3.6567566469912953,0.0,90.0,4.0,6.0,0.375
